,diagnostic_sub_category,diagnostic_description,count_of_diagnostics_id,current_wait_band
162,Colon,COLON,11,79
163,Colon,COLON,12,80
164,Colon,COLON,15,81
165,Colon,COLON,9,82
166,Colon,COLON,4,83
167,Colon,COLON,7,84
168,Colon,COLON,2,85
169,Colon,COLON,6,86
170,Colon,COLON,3,87
171,Colon,COLON,4,88
172,Colon,COLON,10,89
173,Colon,COLON,9,90
174,Colon,COLON,6,91
175,Colon,COLON,5,94
176,Colon,COLON IBD,2,30
177,Colon,COLON TBT,6,6
178,Colon,COLON TBT,1,7
179,Colon,COLON TBT,7,17
180,Colon,COLON TBT,5,19
181,Colon,COLON TBT,3,20
182,Colon,COLON TBT,3,30
183,Colon,COLON TBT,5,31
184,Colon,COLON TBT,1,32
185,Colon,COLON TBT,2,33
186,Colon,COLON TBT,6,34
187,Colon,COLON TBT,2,37
188,Colon,COLON TBT,3,40
189,Colon,COLON TBT,4,53
190,Colon,COLON TBT,6,55
191,Colon,COLON TBT,4,57
192,Colon,COLON TBT,4,60
193,Colon,COLON TBT,3,61
194,Colon,COLON TBT,5,62
195,Colon,COLON TBT,4,63
196,Colon,COLON TBT,2,65
197,Colon,COLON TBT,6,69
198,Colon,COLON TBT,5,71
199,Colon,COLON TBT,5,73
200,Colon,COLON TBT,2,74
201,Colon,COLON TBT,5,76
202,Colon,COLON+APC,6,2
203,Colon,COLON+APC,5,15
204,Colon,COLON+APC,3,33
205,Colon,COLON+APC,2,67
206,Colon,COLON+DYE SPRAY,5,1
207,Colon,COLON+DYE SPRAY,2,3
208,Colon,COLON+DYE SPRAY,1,13
209,Colon,COLON+DYE SPRAY,4,14
210,Colon,COLON+DYE SPRAY,3,19
211,Colon,COLON+DYE SPRAY,4,25
212,Colon,COLON+DYE SPRAY,1,34
213,Colon,COLON+DYE SPRAY,1,66
214,Colon,COLON+EFTR,3,11
215,Colon,COLON+EMR,4,2
216,Colon,COLON+EMR,7,3
217,Colon,COLON+EMR,6,5
218,Colon,COLON+EMR,5,6
219,Colon,COLON+EMR,1,8
220,Colon,COLON+EMR,6,9
221,Colon,COLON+EMR,2,10
222,Colon,COLON+EMR,3,11
223,Colon,COLON+EMR,3,12
224,Colon,COLON+EMR,4,17
225,Colon,COLON+EMR,4,28
226,Colon,COLON+EMR,3,29
227,Colon,COLON+EMR,6,33
228,Colon,COLON+EMR,6,36
229,Colon,COLON+EMR,3,48
230,Colon,COLON+EMR,5,51
231,Colon,COLON+EMR,5,52
232,Colon,COLON+EMR,1,59
233,Colon,COLON+EMR,5,61
234,Colon,COLON+EMR,4,62
235,Colon,COLON+EMR,3,65
236,Colon,COLON+EMR,4,66
237,Colon,COLON+EMR,6,67
238,Colon,COLON+EMR,5,69
239,Colon,COLON+ESD,3,58
240,Colon,COLON+IBD,2,8
241,Colon,COLON+IBD,4,12
242,Colon,COLON+IBD,4,14
243,Colon,COLON+IBD,2,16
244,Colon,COLON+IBD,4,19
245,Colon,COLON+IBD,5,24
246,Colon,COLON+IBD,2,25
247,Colon,COLON+IBD,7,30
248,Colon,COLON+IBD,5,31
249,Colon,COLON+SSD,4,3
250,Colon,COLON+SSD,5,4
251,Colon,COLON+SSD,9,5
252,Colon,COLON+SSD,3,7
253,Colon,COLON+SSD,1,8
254,Colon,COLON+SSD,4,9
255,Colon,COLON+SSD,1,10
256,Colon,COLON+SSD,1,13
257,Colon,COLON+SSD,3,14
258,Colon,COLONOSCOPY + EMR,3,5
259,Colon,OGG,6,2
260,Colon,STREAM 2 COLON,3,7
261,Colon,STREAM 2 COLON,1,75
262,Colon,STREAM 3 COLON,4,8
263,Colon,STREAM 3 COLON,4,24
264,Colon,STREAM 3 COLON,2,60
265,Colon,STREAM 3 COLON,5,63
266,Colon,STREAM 3 COLON,1,74
267,Colon,STREAM 3 COLON,8,76
268,Colon,STREAM 3 COLON,5,77
269,Colon,STREAM 3 COLON,5,78
270,Colon,STREAM 3 COLON,7,79
271,Colon,STREAM 3 COLON,6,80
272,Colon,STREAM 3 COLON,6,81
273,Colon,STREAM 3 COLON,14,82
274,Colon,STREAM 3 COLON,5,83
275,Colon,STREAM 3 COLON,12,84
276,Colon,STREAM 3 COLON,8,85
277,Colon,STREAM 3 COLON,2,86
278,Colon,STREAM 3 COLON,5,87
279,Colon,STREAM 3 COLON,8,88
280,Colon,STREAM 3 COLON,8,89
281,Colon,STREAM 3 COLON,3,94
282,Colon,STREAM 4 COLON,6,6
283,Colon,STREAM 4 COLON,4,75
284,Colon,STREAM 4 COLON,2,76
285,Colon,STREAM 4 COLON,4,77
286,Colon,STREAM 4 COLON,2,78
287,Colon,STREAM 4 COLON,2,79
288,Colon,STREAM 4 COLON,8,80
289,Colon,STREAM 4 COLON,1,81
290,Colon,STREAM 4 COLON,6,82
291,Colon,STREAM 4 COLON,2,84
292,Colon,STREAM 4 COLON,2,85
293,Colon,STREAM 4 COLON,4,86
294,Colon,STREAM 4 COLON,2,87
295,Colon,STREAM 4 COLON,2,88
296,Colon,STREAM 4 COLON,4,89
297,Colon,STREAM 4 COLON,1,195
298,Colon,TBT COLON,2,2
299,Colon,TBT COLON,1,3
300,CT,CT Abdomen,6,0
301,CT,CT Abdomen,2,1
302,CT,CT Abdomen,7,2
303,CT,CT Abdomen,3,3
304,CT,CT Abdomen,7,4
305,CT,CT Abdomen,4,6
306,CT,CT Abdomen,5,8
307,CT,CT Abdomen,1,11
308,CT,CT Abdomen,4,12
309,CT,CT Abdomen,4,17
310,CT,CT Abdomen and pelvis,3,0
311,CT,CT Abdomen and pelvis,14,1
312,CT,CT Abdomen and pelvis,8,2
313,CT,CT Abdomen and pelvis,9,3
314,CT,CT Abdomen and pelvis,4,4
315,CT,CT Abdomen and pelvis,4,5
316,CT,CT Abdomen and pelvis,11,6
317,CT,CT Abdomen and pelvis,5,7
318,CT,CT Abdomen and pelvis,7,8
319,CT,CT Abdomen and pelvis,7,9
320,CT,CT Abdomen and pelvis,2,10
321,CT,CT Abdomen and pelvis,4,11
322,CT,CT Abdomen and pelvis,1,12
323,CT,CT Abdomen and pelvis with contrast,13,0
324,CT,CT Abdomen and pelvis with contrast,103,1
325,CT,CT Abdomen and pelvis with contrast,75,2
326,CT,CT Abdomen and pelvis with contrast,32,3
327,CT,CT Abdomen and pelvis with contrast,20,4
328,CT,CT Abdomen and pelvis with contrast,15,5
329,CT,CT Abdomen and pelvis with contrast,47,6
330,CT,CT Abdomen and pelvis with contrast,20,7
331,CT,CT Abdomen and pelvis with contrast,26,8
332,CT,CT Abdomen and pelvis with contrast,8,9
333,CT,CT Abdomen and pelvis with contrast,23,10
334,CT,CT Abdomen and pelvis with contrast,12,11
335,CT,CT Abdomen and pelvis with contrast,12,12
336,CT,CT Abdomen and pelvis with contrast,16,13
337,CT,CT Abdomen and pelvis with contrast,7,16
338,CT,CT Abdomen and pelvis with contrast,5,20
339,CT,CT Abdomen and pelvis with contrast,4,21
340,CT,CT Abdomen and pelvis with contrast,3,22
341,CT,CT Abdomen and pelvis with contrast,5,23
342,CT,CT Abdomen with contrast,32,1
343,CT,CT Abdomen with contrast,31,2
344,CT,CT Abdomen with contrast,24,3
345,CT,CT Abdomen with contrast,13,4
346,CT,CT Abdomen with contrast,12,5
347,CT,CT Abdomen with contrast,46,6
348,CT,CT Abdomen with contrast,13,7
349,CT,CT Abdomen with contrast,14,8
350,CT,CT Abdomen with contrast,5,9
351,CT,CT Abdomen with contrast,5,10
352,CT,CT Abdomen with contrast,4,11
353,CT,CT Abdomen with contrast,9,12
354,CT,CT Abdomen with contrast,8,13
355,CT,CT Abdomen with contrast,2,14
356,CT,CT Abdomen with contrast,8,22
357,CT,CT Adrenal Both,6,1
358,CT,CT Adrenal Both,7,2
359,CT,CT Adrenal Both,7,3
360,CT,CT Adrenal Both,2,4
361,CT,CT Adrenal Both,8,6
362,CT,CT Adrenal Both,3,7
363,CT,CT Adrenal Both,8,8
364,CT,CT Adrenal Both,2,9
365,CT,CT Adrenal Both,7,10
366,CT,CT Adrenal Both,1,11
367,CT,CT Adrenal with contrast Both,1,1
368,CT,CT Adrenal with contrast Both,2,7
369,CT,CT Adrenal with contrast Both,4,9
370,CT,CT Angio aortic arch and carotid Both,19,1
371,CT,CT Angio aortic arch and carotid Both,9,2
372,CT,CT Angio aortic arch and carotid Both,5,3
373,CT,CT Angio aortic arch and carotid Both,5,4
374,CT,CT Angio aortic arch and carotid Both,5,5
375,CT,CT Angio aortic arch and carotid Both,12,6
376,CT,CT Angio aortic arch and carotid Both,6,7
377,CT,CT Angio aortic arch and carotid Both,6,8
378,CT,CT Angio aortic arch and carotid Both,5,9
379,CT,CT Angio aortic arch and carotid Both,5,12
380,CT,CT Angiogram,4,1
381,CT,CT Angiogram,4,6
382,CT,CT Angiogram abdomen,2,7
383,CT,CT Angiogram aorta,4,0
384,CT,CT Angiogram aorta,14,1
385,CT,CT Angiogram aorta,21,2
386,CT,CT Angiogram aorta,8,3
387,CT,CT Angiogram aorta,14,4
388,CT,CT Angiogram aorta,3,5
389,CT,CT Angiogram aorta,15,6
390,CT,CT Angiogram aorta,11,7
391,CT,CT Angiogram aorta,8,8
392,CT,CT Angiogram aorta,1,9
393,CT,CT Angiogram aorta,6,10
394,CT,CT Angiogram aorta,2,12
395,CT,CT Angiogram aorta,5,13
396,CT,CT Angiogram aorta,2,18
397,CT,CT Angiogram aorta,3,26
398,CT,CT Angiogram intracranial,12,1
399,CT,CT Angiogram intracranial,6,2
400,CT,CT Angiogram intracranial,8,3
401,CT,CT Angiogram intracranial,7,4
402,CT,CT Angiogram intracranial,2,5
403,CT,CT Angiogram intracranial,4,6
404,CT,CT Angiogram intracranial,2,8
405,CT,CT Angiogram intracranial,1,9
406,CT,CT Angiogram intracranial,4,12
407,CT,CT Angiogram lower limb Both,16,1
408,CT,CT Angiogram lower limb Both,8,2
409,CT,CT Angiogram lower limb Both,7,3
410,CT,CT Angiogram lower limb Both,6,4
411,CT,CT Angiogram lower limb Both,6,5
412,CT,CT Angiogram lower limb Both,7,6
413,CT,CT Angiogram lower limb Both,5,7
414,CT,CT Angiogram lower limb Both,3,8
415,CT,CT Angiogram lower limb Both,4,9
416,CT,CT Angiogram lower limb Both,7,10
417,CT,CT Angiogram lower limb Both,3,11
418,CT,CT Angiogram lower limb Both,4,12
419,CT,CT Angiogram lower limb Lt,6,1
420,CT,CT Angiogram lower limb Lt,3,2
421,CT,CT Angiogram lower limb Lt,3,6
422,CT,CT Angiogram lower limb Lt,4,14
423,CT,CT Angiogram lower limb Rt,3,8
424,CT,CT Angiogram lower limb Rt,5,10
425,CT,CT Angiogram mesenteric artery,2,7
426,CT,CT Angiogram mesenteric artery,2,21
427,CT,CT Angiogram pulmonary,5,0
428,CT,CT Angiogram pulmonary,36,1
429,CT,CT Angiogram pulmonary,12,2
430,CT,CT Angiogram pulmonary,5,3
431,CT,CT Angiogram pulmonary,3,4
432,CT,CT Angiogram pulmonary,5,5
433,CT,CT Angiogram pulmonary,9,7
434,CT,CT Angiogram pulmonary,3,8
435,CT,CT Angiogram pulmonary,1,10
436,CT,CT Angiogram pulmonary,6,11
437,CT,CT Angiogram pulmonary,7,12
438,CT,CT Angiogram renal and abdominal,5,2
439,CT,CT Angiogram renal and abdominal,6,3
440,CT,CT Angiogram renal and abdominal,6,11
441,CT,CT Angiogram upper limb Both,2,2
442,CT,CT Angiogram upper limb Lt,2,3
443,CT,CT Angiogram upper limb Rt,4,3
444,CT,CT Angiogram upper limb Rt,2,6
445,CT,CT Angiography thorax and abdomen,3,1
446,CT,CT Angiography thorax and abdomen,3,2
447,CT,CT Angiography thorax and abdomen,6,4
448,CT,CT Angiography thorax and abdomen,4,6
449,CT,CT Angiography thorax and abdomen,4,10
450,CT,CT Ankle Lt,6,2
451,CT,CT Ankle Lt,6,3
452,CT,CT Ankle Lt,3,6
453,CT,CT Ankle Lt,5,8
454,CT,CT Ankle Lt,1,9
455,CT,CT Ankle Lt,3,11
456,CT,CT Ankle Rt,2,2
457,CT,CT Ankle Rt,3,9
458,CT,CT Aorta abdominal with contrast,1,6
459,CT,CT Aorta thoracic,3,2
460,CT,CT Aorta whole with contrast,6,8
461,CT,CT Aorta whole with contrast,5,10
462,CT,CT Chest high resolution,4,0
463,CT,CT Chest high resolution,22,1
464,CT,CT Chest high resolution,32,2
465,CT,CT Chest high resolution,25,3
466,CT,CT Chest high resolution,9,4
467,CT,CT Chest high resolution,19,5
468,CT,CT Chest high resolution,33,6
469,CT,CT Chest high resolution,15,7
470,CT,CT Chest high resolution,22,8
471,CT,CT Chest high resolution,7,9
472,CT,CT Chest high resolution,13,10
473,CT,CT Chest high resolution,10,11
474,CT,CT Chest high resolution,7,12
475,CT,CT Chest high resolution,4,19
476,CT,CT Chest high resolution with contrast,3,3
477,CT,CT Clavicle Rt,2,2
478,CT,CT Colonoscopy virtual,10,0
479,CT,CT Colonoscopy virtual,55,1
480,CT,CT Colonoscopy virtual,42,2
481,CT,CT Colonoscopy virtual,28,3
482,CT,CT Colonoscopy virtual,25,4
483,CT,CT Colonoscopy virtual,19,5
484,CT,CT Colonoscopy virtual,36,6
485,CT,CT Colonoscopy virtual,7,7
486,CT,CT Colonoscopy virtual,14,8
487,CT,CT Colonoscopy virtual,7,9
488,CT,CT Colonoscopy virtual,6,10
489,CT,CT Colonoscopy virtual,7,11
490,CT,CT Colonoscopy virtual,3,12
491,CT,CT Colonoscopy virtual,2,13
492,CT,CT Colonoscopy virtual,6,15
493,CT,CT Colonoscopy virtual,4,19
494,CT,CT Colonoscopy virtual,3,22
495,CT,CT Colonoscopy virtual,3,23
496,CT,CT Cone Beam,5,3
497,CT,CT Cone Beam,3,6
498,CT,CT Cone Beam,5,7
499,CT,CT Cone Beam,3,8
500,CT,CT Cone Beam,3,12
501,CT,CT Elbow Lt,2,0
502,CT,CT Elbow Lt,6,1
503,CT,CT Elbow Lt,3,3
504,CT,CT Elbow Lt,1,4
505,CT,CT Elbow Lt,3,6
506,CT,CT Elbow Lt,5,8
507,CT,CT Elbow Lt,6,9
508,CT,CT Elbow Rt,5,3
509,CT,CT Elbow Rt,2,9
510,CT,CT Elbow Rt,5,13
511,CT,CT Enterography,3,2
512,CT,CT Facial bones,5,1
513,CT,CT Facial bones,4,3
514,CT,CT Facial bones,5,4
515,CT,CT Foot Lt,3,1
516,CT,CT Foot Lt,2,2
517,CT,CT Foot Lt,2,3
518,CT,CT Foot Lt,8,6
519,CT,CT Foot Rt,5,2
520,CT,CT Foot Rt,1,3
521,CT,CT Foot Rt,4,6
522,CT,CT Foot Rt,5,8
523,CT,CT Foot Rt,7,9
524,CT,CT Groin Right,3,3
525,CT,CT Groin Right,2,6
526,CT,CT Guided biopsy,1,1
527,CT,CT Guided biopsy,3,3
528,CT,CT Guided biopsy,1,17
529,CT,CT Guided biopsy abdomen,1,1
530,CT,CT Guided biopsy abdomen,1,4
531,CT,CT Guided biopsy pelvis,3,1
532,CT,CT Guided biopsy pelvis,1,3
533,CT,CT Guided biopsy thorax,5,1
534,CT,CT Guided biopsy thorax,2,2
535,CT,CT Guided biopsy thorax,2,3
536,CT,CT Guided biopsy thorax,3,7
537,CT,CT Guided drainage abdomen,5,1
538,CT,CT Guided drainage thorax,1,2
539,CT,CT Hand Lt,6,1
540,CT,CT Head,10,0
541,CT,CT Head,94,1
542,CT,CT Head,70,2
543,CT,CT Head,44,3
544,CT,CT Head,30,4
545,CT,CT Head,18,5
546,CT,CT Head,26,6
547,CT,CT Head,2,7
548,CT,CT Head,6,8
549,CT,CT Head,4,9
550,CT,CT Head,3,10
551,CT,CT Head,3,11
552,CT,CT Head,7,12
553,CT,CT Head,2,16
554,CT,CT Head,1,17
555,CT,CT Head,3,20
556,CT,CT Head and neck,1,11
557,CT,CT Head and neck with contrast,6,3
558,CT,CT Head and neck with contrast,2,8
559,CT,CT Head and thorax,2,6
560,CT,CT Head with contrast,3,0
561,CT,CT Head with contrast,18,1
562,CT,CT Head with contrast,7,2
563,CT,CT Head with contrast,7,3
564,CT,CT Head with contrast,8,4
565,CT,CT Head with contrast,1,6
566,CT,CT Head with contrast,4,7
567,CT,CT Head with contrast,5,8
568,CT,CT Head with contrast,1,16
569,CT,CT Head with contrast,4,21
570,CT,CT Hip Lt,4,1
571,CT,CT Hip Lt,3,2
572,CT,CT Hip Lt,3,8
573,CT,CT Hip Rt,3,1
574,CT,CT Hip Rt,7,2
575,CT,CT Hip Rt,3,11
576,CT,CT IAM with contrast,8,2
577,CT,CT IAM with contrast,3,3
578,CT,CT IAM with contrast,3,4
579,CT,CT IAM with contrast,5,5
580,CT,CT IAM with contrast,3,6
581,CT,CT IAM with contrast,2,8
582,CT,CT Internal auditory meatus Both,7,1
583,CT,CT Internal auditory meatus Both,1,3
584,CT,CT Internal auditory meatus Both,5,8
585,CT,CT Internal auditory meatus Both,2,12
586,CT,CT Internal auditory meatus Both,2,18
587,CT,CT Kidney triple phase Both,1,45
588,CT,CT Knee Both,5,2
589,CT,CT Knee Lt,9,1
590,CT,CT Knee Lt,5,3
591,CT,CT Knee Lt,7,4
592,CT,CT Knee Lt,2,5
593,CT,CT Knee Lt,6,6
594,CT,CT Knee Lt,2,8
595,CT,CT Knee Lt,7,9
596,CT,CT Knee Lt,1,10
597,CT,CT Knee Rt,2,0
598,CT,CT Knee Rt,5,1
599,CT,CT Knee Rt,6,2
600,CT,CT Knee Rt,2,3
601,CT,CT Knee Rt,3,6
602,CT,CT Knee Rt,6,7
603,CT,CT Knee Rt,4,8
604,CT,CT Knee Rt,5,9
605,CT,CT Knee Rt,5,10
606,CT,CT Knee Rt,2,11
607,CT,CT Liver,6,5
608,CT,CT Liver triple phase,14,1
609,CT,CT Liver triple phase,7,2
610,CT,CT Liver triple phase,8,3
611,CT,CT Liver triple phase,3,4
612,CT,CT Liver triple phase,1,5
613,CT,CT Liver triple phase,8,6
614,CT,CT Liver triple phase,3,7
615,CT,CT Liver triple phase,7,8
616,CT,CT Liver triple phase,1,9
617,CT,CT Liver triple phase,5,10
618,CT,CT Liver triple phase,3,11
619,CT,CT Liver triple phase,6,12
620,CT,CT Liver triple phase,5,13
621,CT,CT Liver with contrast,3,1
622,CT,CT Liver with contrast,9,2
623,CT,CT Liver with contrast,11,3
624,CT,CT Liver with contrast,2,4
625,CT,CT Liver with contrast,5,6
626,CT,CT Liver with contrast,5,7
627,CT,CT Liver with contrast,5,8
628,CT,CT Liver with contrast,7,10
629,CT,CT Low dose thorax,8,0
630,CT,CT Low dose thorax,86,1
631,CT,CT Low dose thorax,77,2
632,CT,CT Low dose thorax,47,3
633,CT,CT Low dose thorax,20,4
634,CT,CT Low dose thorax,10,5
635,CT,CT Low dose thorax,18,6
636,CT,CT Low dose thorax,8,7
637,CT,CT Low dose thorax,14,8
638,CT,CT Low dose thorax,4,9
639,CT,CT Low dose thorax,1,10
640,CT,CT Low dose thorax,3,11
641,CT,CT Low dose thorax,2,15
642,CT,CT Low dose thorax,2,16
643,CT,CT Low dose thorax,3,20
644,CT,CT Lower leg Lt,3,3
645,CT,CT Lower leg Lt,4,4
646,CT,CT Lower leg Rt,3,2
647,CT,CT Lower leg Rt,4,4
648,CT,CT Lower leg with contrast Rt,4,8
649,CT,CT Mandible,6,1
650,CT,CT Mandible,8,2
651,CT,CT Mandible,7,3
652,CT,CT Mastoid Both,9,1
653,CT,CT Mastoid Both,7,2
654,CT,CT Mastoid Both,7,3
655,CT,CT Mastoid Both,4,4
656,CT,CT Mastoid Both,13,6
657,CT,CT Mastoid Both,7,7
658,CT,CT Mastoid Both,5,8
659,CT,CT Mastoid Both,9,9
660,CT,CT Mastoid Both,1,10
661,CT,CT Mastoid Both,3,11
662,CT,CT Mastoid Both,5,12
663,CT,CT Neck,1,2
664,CT,CT Neck,8,3
665,CT,CT Neck,6,6
666,CT,CT Neck and thorax,3,8
667,CT,CT Neck and thorax,2,11
668,CT,CT Neck and thorax with contrast,6,3
669,CT,CT Neck and thorax with contrast,1,8
670,CT,CT Neck thorax abdomen and pelvis,1,10
671,CT,CT Neck thorax abdomen and pelvis,6,12
672,CT,CT Neck thorax abdomen pelvis with Cont,7,1
673,CT,CT Neck thorax abdomen pelvis with Cont,8,2
674,CT,CT Neck thorax abdomen pelvis with Cont,5,3
675,CT,CT Neck thorax abdomen pelvis with Cont,4,4
676,CT,CT Neck thorax abdomen pelvis with Cont,3,6
677,CT,CT Neck thorax abdomen pelvis with Cont,8,7
678,CT,CT Neck thorax abdomen pelvis with Cont,3,8
679,CT,CT Neck thorax abdomen pelvis with Cont,5,9
680,CT,CT Neck thorax abdomen pelvis with Cont,4,13
681,CT,CT Neck thorax and abdomen,6,1
682,CT,CT Neck thorax and abdomen,1,6
683,CT,CT Neck thorax and abdomen,1,10
684,CT,CT Neck thorax and abdomen with contrast,6,1
685,CT,CT Neck thorax and abdomen with contrast,1,2
686,CT,CT Neck thorax and abdomen with contrast,6,3
687,CT,CT Neck thorax and abdomen with contrast,6,6
688,CT,CT Neck with contrast,15,1
689,CT,CT Neck with contrast,5,2
690,CT,CT Neck with contrast,7,3
691,CT,CT Neck with contrast,3,4
692,CT,CT Neck with contrast,3,5
693,CT,CT Neck with contrast,2,6
694,CT,CT Neck with contrast,5,7
695,CT,CT Neck with contrast,5,8
696,CT,CT Neck with contrast,5,20
697,CT,CT Orbit Both,1,1
698,CT,CT Orbit Both,3,5
699,CT,CT Orbit Both,4,6
700,CT,CT Orbit with contrast Both,2,2
701,CT,CT Orbit with contrast Both,6,6
702,CT,CT Pancreas,6,1
703,CT,CT Pancreas,4,7
704,CT,CT Pancreas with contrast,5,0
705,CT,CT Pancreas with contrast,12,1
706,CT,CT Pancreas with contrast,21,2
707,CT,CT Pancreas with contrast,10,3
708,CT,CT Pancreas with contrast,6,4
709,CT,CT Pancreas with contrast,7,5
710,CT,CT Pancreas with contrast,12,6
711,CT,CT Pancreas with contrast,1,7
712,CT,CT Pancreas with contrast,4,8
713,CT,CT Pancreas with contrast,2,9
714,CT,CT Pancreas with contrast,5,10
715,CT,CT Pancreas with contrast,1,11
716,CT,CT Pancreas with contrast,8,12
717,CT,CT Pancreas with contrast,2,13
718,CT,CT Pancreas with contrast,6,22
719,CT,CT Parotids with contrast,4,6
720,CT,CT Parotids with contrast,1,8
721,CT,CT Pelvis,7,1
